valid_time,basin_avg_dis24_m3s
1/2/1979,11.325399
1/3/1979,18.483809
1/4/1979,26.0316
1/5/1979,29.900017
1/6/1979,30.561447
1/7/1979,29.66637
1/8/1979,29.15409
1/9/1979,32.500862
1/10/1979,36.91745
1/11/1979,37.36898
1/12/1979,34.710735
1/13/1979,32.37052
1/14/1979,29.948833
1/15/1979,26.856325
1/16/1979,23.86032
1/17/1979,21.286459
1/18/1979,19.027716
1/19/1979,17.004074
1/20/1979,15.257314
1/21/1979,16.251242
1/22/1979,30.07494
1/23/1979,49.306427
1/24/1979,65.325615
1/25/1979,80.75232
1/26/1979,84.95258
1/27/1979,79.64354
1/28/1979,71.70091
1/29/1979,68.43251
1/30/1979,66.79307
1/31/1979,61.90868
2/1/1979,60.04145
2/2/1979,59.211384
2/3/1979,55.163185
2/4/1979,49.66251
2/5/1979,46.827854
2/6/1979,47.093857
2/7/1979,64.21735
2/8/1979,111.88957
2/9/1979,136.47209
2/10/1979,130.4351
2/11/1979,115.00615
2/12/1979,101.67514
2/13/1979,92.37489
2/14/1979,80.92881
2/15/1979,69.596176
2/16/1979,60.611156
2/17/1979,53.31976
2/18/1979,47.54933
2/19/1979,43.84283
2/20/1979,47.041233
2/21/1979,56.609943
2/22/1979,61.30802
2/23/1979,63.74204
2/24/1979,62.456497
2/25/1979,65.507095
2/26/1979,82.00899
2/27/1979,98.25996
2/28/1979,99.96726
3/1/1979,94.60743
3/2/1979,89.33941
3/3/1979,82.62627
3/4/1979,111.30435
3/5/1979,174.18512
3/6/1979,190.29344
3/7/1979,172.62384
3/8/1979,155.30783
3/9/1979,140.55959
3/10/1979,124.78241
3/11/1979,109.787346
3/12/1979,95.6875
3/13/1979,85.11766
3/14/1979,75.74361
3/15/1979,66.97128
3/16/1979,59.4827
3/17/1979,53.492283
3/18/1979,47.89389
3/19/1979,41.96438
3/20/1979,37.925034
3/21/1979,33.801167
3/22/1979,29.904415
3/23/1979,26.824913
3/24/1979,27.542961
3/25/1979,40.896103
3/26/1979,55.507233
3/27/1979,61.076912
3/28/1979,60.853573
3/29/1979,56.731594
3/30/1979,49.788643
3/31/1979,41.979004
4/1/1979,36.007988
4/2/1979,31.453098
4/3/1979,27.786215
4/4/1979,32.015816
4/5/1979,66.84974
4/6/1979,117.01398
4/7/1979,132.41376
4/8/1979,134.41121
4/9/1979,118.550896
4/10/1979,108.05764
4/11/1979,104.26382
4/12/1979,97.58306
4/13/1979,103.29377
4/14/1979,148.28691
4/15/1979,212.08862
4/16/1979,232.00923
4/17/1979,211.99185
4/18/1979,184.09116
4/19/1979,155.91563
4/20/1979,132.1657
4/21/1979,112.8091
4/22/1979,95.403984
4/23/1979,81.764084
4/24/1979,99.320755
4/25/1979,142.2336
4/26/1979,160.73294
4/27/1979,168.087
4/28/1979,159.26236
4/29/1979,141.13882
4/30/1979,124.47015
5/1/1979,116.710976
5/2/1979,102.6277
5/3/1979,90.24007
5/4/1979,79.89017
5/5/1979,70.62468
5/6/1979,60.23737
5/7/1979,55.071514
5/8/1979,51.345478
5/9/1979,47.14632
5/10/1979,43.225876
5/11/1979,38.636333
5/12/1979,35.19689
5/13/1979,33.29755
5/14/1979,33.99547
5/15/1979,36.63169
5/16/1979,36.744873
5/17/1979,34.537403
5/18/1979,31.591213
5/19/1979,28.521696
5/20/1979,26.153498
5/21/1979,24.093319
5/22/1979,21.837004
5/23/1979,19.60951
5/24/1979,18.363882
5/25/1979,22.003454
5/26/1979,29.852818
5/27/1979,32.231487
5/28/1979,29.983322
5/29/1979,27.288105
5/30/1979,24.893782
5/31/1979,24.428055
6/1/1979,31.110912
6/2/1979,48.75459
6/3/1979,65.077774
6/4/1979,66.88245
6/5/1979,62.57254
6/6/1979,57.51063
6/7/1979,53.52731
6/8/1979,51.038536
6/9/1979,46.954773
6/10/1979,41.80624
6/11/1979,36.870197
6/12/1979,32.754696
6/13/1979,29.431185
6/14/1979,26.446514
6/15/1979,23.54388
6/16/1979,20.886389
6/17/1979,18.54755
6/18/1979,16.529684
6/19/1979,14.795175
6/20/1979,13.273747
6/21/1979,11.859348
6/22/1979,10.59267
6/23/1979,9.5322485
6/24/1979,8.667908
6/25/1979,8.03376
6/26/1979,7.6823726
6/27/1979,7.586032
6/28/1979,7.5513816
6/29/1979,7.4207954
6/30/1979,7.215053
7/1/1979,7.0596933
7/2/1979,6.989799
7/3/1979,6.925599
7/4/1979,6.8481216
7/5/1979,6.709872
7/6/1979,6.4992175
7/7/1979,6.2783356
7/8/1979,6.3490124
